Modelo,RMSE,MAE,R2
XGBoost (Optuna),610127744.0,13860.4287109375,0.9239009618759155
XGBoost,611864128.0,15178.443359375,0.9236843585968018
Random Forest,684922268.0370198,15805.016433447097,0.9145721018521592
RandomForest (Optuna),712213269.6172764,15889.139176165085,0.911168193099079
Ridge,827240544.9057817,16160.764846933924,0.8968212535759521
Lasso,841459507.9714837,15674.243362434932,0.895047773306394
Linear Regression,848804803.9870551,15711.884948757295,0.8941316208768892
